home,runs
Durham,160.0
Hampshire,153.0
Surrey,158.0
Worcestershire,151.0
Gloucestershire,126.0
Surrey,182.0
Yorkshire,186.0
Kent,147.0
Leicestershire,174.0
Nottinghamshire,124.0
Surrey,145.0
Sussex,177.0
Derbyshire,95.0
Gloucestershire,129.0
Lancashire,104.0
Middlesex,165.0
Leicestershire,178.0
Northamptonshire,166.0
Warwickshire,181.0
Yorkshire,198.0
Sussex,180.0
Derbyshire,157.0
Glamorgan,170.0
Middlesex,136.0
Gloucestershire,221.0
Lancashire,144.0
Leicestershire,171.0
Worcestershire,161.0
Yorkshire,196.0
Essex,175.0
Sussex,115.0
Surrey,119.0
Eastern Cape,116.0
Titans,176.0
Dolphins,153.0
Eagles,161.0
Titans,147.0
Kent,157.0
Nottinghamshire,122.0
Warwickshire,120.0
Worcestershire,184.0
Essex,135.0
Surrey,198.0
Nottinghamshire,210.0
Surrey,185.0
Middlesex,121.0
Hampshire,170.0
Kent,163.0
Leicestershire,150.0
Somerset,178.0
Glamorgan,162.0
Yorkshire,170.0
Durham,129.0
Hampshire,177.0
Lancashire,82.0
Somerset,211.0
Glamorgan,161.0
Leicestershire,180.0
Surrey,145.0
Leicestershire,169.0
Bloomfield Cricket and Athletic Club,135.0
Burgher Recreation Club,137.0
Chilaw Marians Cricket Club,198.0
Colombo Cricket Club,200.0
Colts Cricket Club,106.0
Kurunegala Youth Cricket Club,166.0
Moors Sports Club,125.0
Nondescripts Cricket Club,164.0
Bloomfield Cricket and Athletic Club,121.0
Colts Cricket Club,135.0
Chilaw Marians Cricket Club,115.0
Burgher Recreation Club,129.0
Chilaw Marians Cricket Club,227.0
Eagles,171.0
Lions,134.0
Titans,151.0
Eagles,132.0
Warriors,137.0
Titans,203.0
Warriors,143.0
Lions,76.0
Titans,151.0
Warriors,119.0
Titans,125.0
Faisalabad Wolves,96.0
Lahore Eagles,215.0
Lahore Lions,116.0
Faisalabad Wolves,167.0
Karachi Zebras,175.0
Lahore Eagles,183.0
Lahore Eagles,142.0
England,179.0
Derbyshire,134.0
Leicestershire,147.0
Northamptonshire,224.0
Worcestershire,177.0
Glamorgan,183.0
Sussex,110.0
Somerset,210.0
Derbyshire,137.0
Gloucestershire,132.0
Northamptonshire,143.0
Nottinghamshire,198.0
Essex,132.0
Essex,151.0
Gloucestershire,166.0
Leicestershire,150.0
Hampshire,155.0
Lancashire,149.0
Somerset,212.0
Durham,180.0
Surrey,180.0
Yorkshire,198.0
Lancashire,164.0
Middlesex,145.0
Warwickshire,169.0
Lancashire,207.0
Middlesex,185.0
Surrey,167.0
Sussex,99.0
Lancashire,208.0
Warwickshire,172.0
Essex,71.0
Glamorgan,129.0
Derbyshire,142.0
Kent,154.0
Leicestershire,178.0
Somerset,228.0
Warwickshire,205.0
Worcestershire,223.0
Lancashire,189.0
Leicestershire,159.0
Surrey,149.0
Lancashire,217.0
Chilaw Marians Cricket Club,179.0
Faisalabad Wolves,207.0
Leicestershire,172.0
Faisalabad Wolves,142.0
Bloomfield Cricket and Athletic Club,86.0
Chilaw Marians Cricket Club,173.0
Colombo Cricket Club,209.0
Sri Lanka Air Force Sports Club,115.0
Tamil Union Cricket and Athletic Club,150.0
Badureliya Sports Club,172.0
Police Sports Club,174.0
Ragama Cricket Club,133.0
Nondescripts Cricket Club,245.0
Bloomfield Cricket and Athletic Club,92.0
Chilaw Marians Cricket Club,133.0
Galle Cricket Club,76.0
Bloomfield Cricket and Athletic Club,69.0
Burgher Recreation Club,161.0
Galle Cricket Club,142.0
Sebastianites Cricket and Athletic Club,139.0
Sinhalese Sports Club,177.0
Colombo Cricket Club,219.0
Ragama Cricket Club,161.0
Sinhalese Sports Club,173.0
Australia,209.0
Victoria,114.0
New South Wales,168.0
Canterbury,157.0
Auckland,157.0
New Zealand,126.0
Cape Cobras,161.0
Lions,102.0
Titans,116.0
Titans,180.0
Cape Cobras,155.0
Eagles,132.0
Dolphins,165.0
Titans,180.0
Eagles,188.0
Eagles,113.0
South Africa,201.0
Abbottabad Rhinos,186.0
Hyderabad Hawks,140.0
Karachi Zebras,188.0
Lahore Lions,202.0
Abbottabad Rhinos,144.0
Faisalabad Wolves,123.0
Lahore Lions,111.0
Karachi Zebras,160.0
Lahore Eagles,175.0
Lahore Lions,121.0
Lahore Eagles,160.0
Lahore Lions,234.0
Faisalabad Wolves,205.0
Islamabad Leopards,158.0
Lahore Lions,163.0
Lahore Eagles,203.0
Peshawar Panthers,141.0
Faisalabad Wolves,108.0
Karachi Zebras,151.0
Faisalabad Wolves,150.0
Kent,186.0
Leicestershire,137.0
Somerset,250.0
Sussex,153.0
Yorkshire,123.0
Derbyshire,118.0
Glamorgan,164.0
Nottinghamshire,175.0
Surrey,198.0
Essex,196.0
Gloucestershire,181.0
Hampshire,225.0
Durham,139.0
Nottinghamshire,195.0
Essex,162.0
Glamorgan,186.0
Sussex,126.0
Kent,134.0
Hampshire,151.0
Lancashire,173.0
Northamptonshire,190.0
Gloucestershire,165.0
Kent,178.0
Nottinghamshire,137.0
Leicestershire,161.0
Essex,178.0
Gloucestershire,227.0
Hampshire,112.0
Leicestershire,144.0
Northamptonshire,174.0
Surrey,116.0
Essex,160.0
Lancashire,93.0
Worcestershire,200.0
Warwickshire,187.0
Middlesex,116.0
Nottinghamshire,142.0
Somerset,219.0
Yorkshire,137.0
Nottinghamshire,213.0
Leicestershire,156.0
Essex,149.0
Nottinghamshire,176.0
Nevis,104.0
St Vincent,96.0
Antigua,146.0
Guyana,116.0
Grenada,122.0
Guyana,176.0
Auckland,153.0
Northern Districts,177.0
Bangladesh,166.0
Karachi Zebras,149.0
Faisalabad Wolves,162.0
Lahore Lions,178.0
Lahore Lions,150.0
New Zealand,116.0
Australia,221.0
Western Australia,194.0
Queensland,202.0
Western Australia,193.0
Queensland,173.0
Tasmania,208.0
Victoria,194.0
South Australia,147.0
Victoria,206.0
Victoria,160.0
South Africa,132.0
Auckland,150.0
Central Districts,180.0
Otago,185.0
Northern Districts,144.0
Canterbury,170.0
Wellington,152.0
Wellington,182.0
Auckland,212.0
Auckland,211.0
Bloomfield Cricket and Athletic Club,125.0
Chilaw Marians Cricket Club,126.0
Tamil Union Cricket and Athletic Club,117.0
Moors Sports Club,116.0
Saracens Sports Club,152.0
Sri Lanka Army,91.0
Nondescripts Cricket Club,144.0
Saracens Sports Club,89.0
Tamil Union Cricket and Athletic Club,176.0
Bloomfield Cricket and Athletic Club,131.0
Chilaw Marians Cricket Club,190.0
Moors Sports Club,159.0
Sinhalese Sports Club,63.0
Tamil Union Cricket and Athletic Club,160.0
Burgher Recreation Club,114.0
Panadura Sports Club,161.0
Ragama Cricket Club,132.0
Ragama Cricket Club,149.0
Ragama Cricket Club,237.0
Eagles,174.0
Lions,182.0
Cape Cobras,140.0
Titans,170.0
Warriors,135.0
Lions,156.0
Cape Cobras,212.0
Dolphins,177.0
Lions,175.0
Eagles,159.0
Titans,191.0
Warriors,155.0
Cape Cobras,140.0
Lions,188.0
Lions,148.0
Gujarat,196.0
Karnataka,173.0
Madhya Pradesh,116.0
Orissa,121.0
Railways,164.0
Bengal,187.0
Delhi,174.0
Haryana,211.0
Rajasthan,142.0
Andhra,156.0
Madhya Pradesh,102.0
Mumbai,182.0
Orissa,140.0
Rajasthan,158.0
Baroda,143.0
Delhi,163.0
Goa,154.0
Haryana,76.0
Himachal Pradesh,124.0
Uttar Pradesh,138.0
Baroda,144.0
Bengal,160.0
Gujarat,154.0
Jharkhand,194.0
Karnataka,135.0
Madhya Pradesh,156.0
Punjab,115.0
Railways,115.0
Bengal,134.0
Haryana,114.0
Bengal,159.0
Gujarat,114.0
Haryana,173.0
Bengal,171.0
Tamil Nadu,172.0
Karnataka,154.0
Railways,104.0
Karnataka,157.0
Gujarat,153.0
Railways,163.0
England,173.0
Lancashire,152.0
Surrey,168.0
Warwickshire,161.0
Leicestershire,154.0
Essex,171.0
Nottinghamshire,167.0
Kent,46.0
Surrey,75.0
Warwickshire,173.0
Middlesex,73.0
Gloucestershire,103.0
Warwickshire,174.0
Glamorgan,143.0
Durham,104.0
Nottinghamshire,203.0
Lancashire,143.0
Essex,175.0
Nottinghamshire,149.0
Somerset,202.0
Worcestershire,227.0
Yorkshire,66.0
Hampshire,100.0
Middlesex,85.0
Sussex,163.0
Kent,146.0
Northamptonshire,101.0
Yorkshire,65.0
Gloucestershire,117.0
Sussex,205.0
Yorkshire,122.0
Gloucestershire,131.0
Sussex,193.0
Gloucestershire,152.0
Kent,141.0
Pakistan,226.0
Bangladesh,145.0
South Africa,208.0
Pakistan,171.0
Bangladesh,165.0
England,188.0
Australia,136.0
India,141.0
South Africa,146.0
Australia,124.0
South Africa,154.0
Pakistan,189.0
South Africa,158.0
Australia,102.0
India,157.0
India,167.0
South Africa,131.0
Australia,186.0
Tasmania,161.0
Western Australia,187.0
Tasmania,131.0
Victoria,154.0
Western Australia,157.0
New South Wales,121.0
Victoria,178.0
Queensland,177.0
South Africa,134.0
Australia,75.0
Northern Districts,133.0
Otago,154.0
Auckland,190.0
Wellington,143.0
Northern Districts,147.0
Wellington,117.0
Northern Districts,186.0
Canterbury,158.0
Central Districts,173.0
Auckland,184.0
Central Districts,150.0
Montserrat,70.0
Barbados,103.0
Antigua and Barbuda,153.0
Barbados,152.0
Jamaica,123.0
Easterns (Zimbabwe),168.0
Northerns (Zimbabwe),227.0
Centrals,124.0
Easterns (Zimbabwe),131.0
Northerns (Zimbabwe),170.0
Easterns (Zimbabwe),142.0
Pakistan,203.0
Cape Cobras,143.0
Eagles,181.0
Lions,158.0
Titans,188.0
Dolphins,132.0
Dolphins,92.0
Cape Cobras,87.0
Dolphins,131.0
Cape Cobras,128.0
Titans,112.0
Dolphins,115.0
Kandurata,137.0
Ruhuna,70.0
Basnahira North,117.0
Ruhuna,127.0
Basnahira South,200.0
Delhi Daredevils,132.0
Kolkata Knight Riders,112.0
Rajasthan Royals,168.0
Chennai Super Kings,208.0
Kings XI Punjab,182.0
Chennai Super Kings,152.0
Kings XI Punjab,162.0
Delhi Daredevils,191.0
Rajasthan Royals,196.0
Royal Challengers Bangalore,156.0
Kings XI Punjab,178.0
Mumbai Indians,162.0
Rajasthan Royals,110.0
Mumbai Indians,104.0
Kolkata Knight Riders,129.0
Rajasthan Royals,141.0
Chennai Super Kings,181.0
Rajasthan Royals,159.0
Kings XI Punjab,144.0
Kolkata Knight Riders,133.0
Mumbai Indians,158.0
Delhi Daredevils,194.0
Mumbai Indians,68.0
Rajasthan Royals,197.0
Kings XI Punjab,178.0
Delhi Daredevils,179.0
Kolkata Knight Riders,175.0
Rajasthan Royals,146.0
Kings XI Punjab,221.0
Chennai Super Kings,116.0
England,127.0
West Indies,102.0
Kent,140.0
Durham,114.0
Middlesex,116.0
Worcestershire,169.0
Northamptonshire,182.0
Glamorgan,170.0
Hampshire,197.0
Nottinghamshire,166.0
Lancashire,167.0
Surrey,142.0
Kent,166.0
Middlesex,144.0
Northamptonshire,171.0
Somerset,185.0
Yorkshire,154.0
Essex,147.0
Middlesex,177.0
Nottinghamshire,150.0
Kent,86.0
Warwickshire,151.0
Durham,123.0
Essex,164.0
Glamorgan,154.0
Derbyshire,122.0
Somerset,212.0
Sussex,165.0
Warwickshire,134.0
Northamptonshire,207.0
Kent,204.0
Lancashire,154.0
Hampshire,151.0
Gloucestershire,135.0
Leicestershire,131.0
Middlesex,171.0
Warwickshire,177.0
Worcestershire,163.0
Durham,162.0
Essex,242.0
Lancashire,155.0
Essex,159.0
Leicestershire,149.0
Essex,192.0
Middlesex,176.0
Durham,163.0
Ireland,118.0
Canada,99.0
Ireland,43.0
Ireland,72.0
Netherlands,110.0
Lahore Lions,187.0
Rawalpindi Rams,142.0
Hyderabad Hawks,169.0
Multan Tigers,104.0
Lahore Eagles,88.0
Islamabad Leopards,142.0
Lahore Lions,171.0
Sri Lanka,107.0
Pakistan,141.0
Pakistan,110.0
Stanford Superstars,146.0
England,121.0
England,141.0
Stanford Superstars,173.0
Stanford Superstars,101.0
South Africa,118.0
New Zealand,191.0
Australia,182.0
Australia,161.0
South Australia,182.0
Tasmania,184.0
Victoria,184.0
Western Australia,132.0
Victoria,183.0
Queensland,164.0
New South Wales,128.0
New South Wales,167.0
Australia,150.0
Warriors,169.0
Cape Cobras,207.0
Eagles,176.0
Dolphins,120.0
Cape Cobras,157.0
Warriors,131.0
Titans,154.0
Warriors,127.0
Dolphins,117.0
Eagles,105.0
Warriors,103.0
Cape Cobras,147.0
New Zealand,166.0
New Zealand,150.0
Auckland,150.0
