Time,Frequency
Oct 2001,37100
Apr 2001,35995
May 2001,35692
Nov 2000,32525
Dec 2000,31294
Nov 2001,28541
Mar 2001,28441
Oct 2000,24795
Jan 2001,24123
Feb 2001,23139
Jan 2002,21111
Sep 2000,19929
Aug 2000,19044
Jun 2001,18487
Jun 2000,13693
Jul 2000,13651
Dec 2001,11318
Sep 2001,10863
May 2000,10247
Jul 2001,10223
Aug 2001,8897
Mar 2000,8715
Apr 2000,8626
Feb 2002,8066
Feb 2000,7197
Jan 2000,6385
Dec 1999,3545
Mar 2002,3431
Oct 1999,1394
Nov 1999,1308
Sep 1999,1241
Apr 2002,1157
Aug 1999,1060
Jun 2002,921
May 2002,909
Jul 1999,858
May 1999,662
Jun 1999,646
Dec 1979,522
Jul 2002,244
Jan 1999,130
Mar 1999,112
Dec 1998,107
Apr 1999,97
Feb 1999,91
Aug 1997,77
Sep 1997,72
Feb 2004,70
Dec 0001,65
Jun 1997,64
Oct 0001,62
Nov 0001,59
Jul 1997,56
Nov 1998,56
Mar 1997,39
Apr 1997,36
May 1997,32
Nov 1997,32
Jan 0002,31
Oct 1997,28
Feb 0002,19
Aug 0001,13
Sep 0001,9
Mar 0002,8
Oct 1998,8
Sep 2002,6
Jan 1998,4
Jan 2044,3
Dec 2020,2
May 0001,2
Jun 0001,2
Nov 2012,2
Jan 1997,1
Apr 1986,1
Oct 2002,1
Dec 2043,1
Sep 1998,1
May 1998,1
May 1986,1
May 2024,1
Jul 0001,1
Dec 2005,1
Dec 2002,1
Feb 2007,1
