Word,Frequency
enron,18228
meeting,14474
gas,11395
agreement,11033
report,10768
energy,10509
power,10302
date,8403
hour,8176
request,7921
start,7538
update,6997
conference,6716
call,6072
credit,5987
codesite,5963
letter,5563
deal,5484
draft,5399
california,5310
schedule,4847
list,4821
trading,4716
access,4348
information,4327
market,4024
contract,3870
eol,3746
day,3728
project,3682
today,3653
news,3646
master,3444
management,3384
presentation,3370
approval,3183
time,3177
change,3152
issues,3128
revised,3002
week,2863
plan,2835
notification,2823
price,2818
group,2817
outage,2816
company,2796
order,2792
changes,2790
weekend,2779
deals,2767
announcement,2749
p,2702
status,2668
risk,2640
services,2582
capacity,2571
isda,2570
data,2519
confirmation,2457
agreements,2419
houston,2397
office,2385
review,2343
comments,2339
committee,2270
notice,2257
reminder,2222
ferc,2205
business,2202
summary,2178
year,2169
hpl,2127
reports,2111
info,2079
response,2070
pg,2070
document,2036
action,2011
inc,2009
demand,1998
sales,1994
please,1987
sale,1973
options,1927
lunch,1925
purchase,1908
form,1894
failure,1893
meeting,1892
corp,1887
ken,1884
contracts,1850
mail,1846
memo,1838
ena,1831
release,1828
message,1826
program,1815
june,1804
stock,1764
option,1763
tw,1761
crawler,1749
ees,1744
documents,1730
party,1710
mtg,1706
product,1684
march,1680
storage,1671
performance,1640
staff,1624
revised,1615
prices,1599
checkout,1592
expense,1572
contact,1557
board,1540
book,1540
survey,1530
marketing,1522
newsletter,1515
meter,1503
rate,1500
press,1494
weather,1494
approvals,1491
article,1489
markets,1485
resume,1483
position,1472
visit,1460
invitation,1451
holiday,1432
analysis,1412
dinner,1406
research,1400
email,1398
policy,1391
swap,1390
system,1385
model,1384
language,1379
service,1376
vacation,1376
executive,1362
training,1358
proposal,1357
questions,1336
issue,1334
paper,1329
enrononline,1319
employee,1315
question,1305
name,1305
trade,1297
transaction,1295
interview,1294
read,1290
pipeline,1280
mentions,1276
team,1265
oil,1263
city,1262
futures,1258
summer,1257
amendment,1257
w,1255
electricity,1254
phone,1249
points,1246
site,1244
december,1232
assignment,1224
analyst,1218
agenda,1207
products,1191
prc,1185
process,1177
morning,1165
sheet,1155
state,1152
term,1142
responses,1131
enron,1131
proceeds,1126
donate,1125
center,1120
july,1109
co,1101
alert,1094
customer,1093
online,1091
tomorrow,1087
feedback,1081
production,1075
tickets,1073
development,1072
number,1066
trip,1063
address,1062
hi,1058
employees,1056
hello,1047
test,1043
work,1035
version,1033
meetings,1026
get,1024
texas,1022
game,1014
derivatives,1013
turbine,1007
caiso,1003
confidentiality,1002
rto,998
april,990
settlement,988
trader,985
v,976
jan,973
strategy,964
guaranty,960
notes,960
hey,959
concur,949
bank,949
line,948
regarding,947
submitted,946
mark,944
monday,943
affairs,932
lay,931
commissioner,930
savings,929
tax,928
llc,928
desk,923
generation,919
jeff,917
friday,917
filing,917
bill,916
organization,915
paso,912
iso,902
hourahead,900
commodity,895
invoice,894
positions,893
proposed,893
thank,893
fyi,892
plant,886
support,886
index,875
follow,873
watch,873
course,860
fuel,856
transmission,856
counterparty,852
world,849
firm,840
procedures,839
results,838
john,837
operations,837
case,835
cost,833
resources,826
class,824
subject,820
cpuc,819
pricing,805
finance,803
security,798
ets,798
nda,796
cash,788
decision,782
updated,782
doc,780
room,779
rates,779
crude,776
nom,770
conf,765
please,762
transport,761
requirements,759
industry,758
files,756
thursday,755
night,749
davis,748
exchange,747
thanks,745
apb,743
word,741
congratulations,740
trades,736
video,729
transactions,728
crisis,727
corporation,726
gisb,725
merger,725
canada,723
job,722
working,720
bankruptcy,717
supply,716
williams,714
budget,714
pm,713
q,712
opportunity,710
christmas,710
books,703
statement,703
discussion,699
government,695
volumes,695
actuals,694
id,693
nomination,692
home,690
delivery,690
travel,689
termination,687
plans,684
account,684
confirm,681
help,681
ii,680
edison,675
update,667
dec,667
dynegy,664
clickpaper,663
cera,659
charts,658
offer,657
auction,656
password,656
payment,654
talking,651
indices,651
jones,649
database,646
skilling,644
enron,644
outlook,640
inc,639
part,637
numbers,633
need,631
golf,630
items,630
stuff,630
web,629
saturday,621
r,620
floor,618
requested,616
file,615
invoices,613
way,612
netting,608
technology,604
deadline,603
york,603
seminar,600
link,596
reporting,595
football,595
application,593
docs,589
reservations,588
dow,588
attorney,587
px,585
law,582
forum,578
curve,577
presents,576
xls,576
japan,576
esource,572
closing,572
pira,571
correction,571
transfer,569
governor,569
ethink,566
revision,564
tuesday,563
litigation,563
forms,559
specials,558
opportunities,557
systems,555
gtc,554
advice,550
counterparties,549
birthday,549
activity,549
pacific,548
materials,546
telephone,545
schedules,542
chairman,542
needed,541
duke,540
post,540
bid,539
study,538
missing,536
expansion,536
facility,534
house,533
september,533
testing,532
capital,532
b,532
agency,528
month,527
log,526
enron,524
session,523
control,523
testimony,518
limit,518
tonight,515
story,514
track,511
gcp,510
