Year,Section,Number of Articles
2016,U.S.,968
2016,Paid Death Notices,801
2016,Sports,666
2016,World,649
2016,Opinion,637
2016,Arts,581
2016,Business Day,530
2016,N.Y. / Region,452
2016,Fashion & Style,312
2016,Books,166
2016,Movies,161
2016,T Magazine,141
2016,Technology,132
2016,Real Estate,116
2016,Travel,90
2016,NYT Now,88
2016,Health,88
2016,Food,84
2016,Education,83
2016,Magazine,80
2016,Theater,80
2016,Blogs,69
2016,Universal,60
2016,Science,60
2016,The Upshot,56
2016,Multimedia/Photos,42
2016,Crosswords & Games,41
2016,Corrections,36
2016,Your Money,30
2016,Obituaries,28
2016,Today’s Paper,26
2016,Times Insider,18
2016,Automobiles,12
2016,Style,12
2016,Job Market,8
2016,Times Topics,4
2016,Sunday Review,3
2016,Great Homes & Destinations,2
2016,membercenter,1
2016,Public Editor,1
2013,Sports,1093
2013,World,943
2013,Business Day,886
2013,U.S.,845
2013,Opinion,796
2013,Arts,740
2013,N.Y. / Region,652
2013,Technology,275
2013,Fashion & Style,230
2013,Science,200
2013,Health,161
2013,Books,134
2013,Business,134
2013,Style,131
2013,Autos,109
2013,Magazine,100
2013,T:Style,100
2013,Movies,89
2013,Real Estate,72
2013,Travel,69
2013,,68
2013,Home & Garden,66
2013,Corrections,62
2013,Dining & Wine,52
2013,Theater,50
2013,Multimedia,44
2013,Multimedia/Photos,44
2013,Crosswords/Games,41
2013,Education,39
2013,Food,36
2013,Automobiles,29
2013,Booming,29
2013,Great Homes & Destinations,29
2013,Your Money,20
2013,Crosswords & Games,17
2013,Sunday Review,9
2013,Job Market,8
2013,Obituaries,3
2013,Open,3
2013,T Magazine,2
2013,Public Editor,2
2014,Business Day,1027
2014,Sports,828
2014,Opinion,806
2014,Arts,778
2014,World,778
2014,U.S.,689
2014,N.Y. / Region,642
2014,Fashion & Style,274
2014,Technology,254
2014,,194
2014,Movies,168
2014,Books,130
2014,Health,128
2014,Automobiles,118
2014,Magazine,91
2014,Theater,86
2014,Multimedia/Photos,83
2014,Travel,82
2014,Science,82
2014,false,80
2014,Food,71
2014,Real Estate,70
2014,T:Style,66
2014,Corrections,62
2014,Style,61
2014,Home & Garden,55
2014,Multimedia,48
2014,Crosswords/Games,39
2014,Great Homes & Destinations,30
2014,Booming,29
2014,Your Money,28
2014,Crosswords & Games,22
2014,T Magazine,19
2014,Education,15
2014,Sunday Review,9
2014,Great Homes and Destinations,8
2014,Job Market,7
2014,Dining & Wine,5
2014,Times Topics,2
2014,Public Editor,2
2014,Open,2
2015,World,804
2015,Business Day,750
2015,Sports,723
2015,U.S.,654
2015,false,636
2015,Opinion,628
2015,Arts,612
2015,N.Y. / Region,565
2015,Fashion & Style,217
2015,Technology,161
2015,Movies,159
2015,Books,134
2015,The Upshot,112
2015,Travel,89
2015,Theater,83
2015,Science,83
2015,Health,70
2015,Real Estate,70
2015,,65
2015,Style,56
2015,Corrections,56
2015,Home & Garden,55
2015,Magazine,51
2015,Food,48
2015,NYT Now,47
2015,Crosswords/Games,43
2015,Multimedia,42
2015,Blogs,40
2015,Universal,32
2015,Your Money,30
2015,T Magazine,23
2015,Automobiles,18
2015,Crosswords & Games,15
2015,Great Homes & Destinations,10
2015,Education,8
2015,Sunday Review,7
2015,Job Market,4
2015,Multimedia/Photos,3
2015,Public Editor,2
2015,Obituaries,1
2015,Open,1
